"contentType","ts","value"
FTP,1.61 GiB,10.3 KiB
FTP,1.61 GiB,22.1 KiB
FTP,1.61 GiB,177 KiB
FTP,1.61 GiB,34.2 KiB
FTP,1.61 GiB,79.2 KiB
FTP,1.61 GiB,174 KiB
FTP,1.61 GiB,1.39 MiB
FTP,1.61 GiB,93.4 KiB
FTP,1.61 GiB,92.6 KiB
FTP,1.61 GiB,384 KiB
FTP,1.61 GiB,13.3 KiB
FTP,1.61 GiB,61.3 KiB
FTP,1.61 GiB,95.4 KiB
FTP,1.61 GiB,90.1 KiB
FTP,1.61 GiB,117 KiB
FTP,1.61 GiB,13.2 KiB
FTP,1.61 GiB,37.8 KiB
FTP,1.61 GiB,4.91 KiB
FTP,1.61 GiB,7.92 KiB
FTP,1.61 GiB,424 KiB
FTP,1.61 GiB,1.13 KiB
FTP,1.61 GiB,457 KiB
FTP,1.61 GiB,2.41 MiB
FTP,1.61 GiB,270 KiB
FTP,1.61 GiB,11.8 KiB
FTP,1.61 GiB,44.6 KiB
FTP,1.61 GiB,1.80 KiB
FTP,1.61 GiB,10.4 KiB
FTP,1.61 GiB,105 B
FTP,1.61 GiB,30.1 KiB
FTP,1.61 GiB,184 KiB
FTP,1.61 GiB,49.0 KiB
FTP,1.61 GiB,10.1 KiB
FTP,1.61 GiB,3.01 KiB
FTP,1.61 GiB,208 KiB
FTP,1.61 GiB,26.3 KiB
FTP,1.61 GiB,9.78 KiB
FTP,1.61 GiB,6.65 KiB
FTP,1.61 GiB,22.0 KiB
FTP,1.61 GiB,133 KiB
FTP,1.61 GiB,10.9 KiB
FTP,1.61 GiB,55.1 KiB
FTP,1.61 GiB,19.5 KiB
FTP,1.61 GiB,21.2 KiB
FTP,1.61 GiB,30.2 KiB
FTP,1.61 GiB,1.11 MiB
FTP,1.61 GiB,633 KiB
FTP,1.61 GiB,465 KiB
FTP,1.61 GiB,172 KiB
FTP,1.61 GiB,17.4 KiB
FTP,1.61 GiB,22.5 KiB
FTP,1.61 GiB,181 KiB
FTP,1.61 GiB,147 KiB
FTP,1.61 GiB,109 KiB
FTP,1.61 GiB,47.3 KiB
